task_id,priority,formula_id,scope,source_images,source_text_lines,status,worker_slots,critic_status,canonical_target,notes
OCR-1982-SELECTION-WVX,1,HT-F-1982-SELECTION-WVX,"w_nu_x, w(1), w(2), a_nu_x, b_nu_x, A-matrix terms","1982_massenformel/page-06.png; 1982_massenformel/page-07.png; 1982_massenformel/page-08.png","250-356",integrated,2,critic_ready,"formulas/HT-F-1982-SELECTION-WVX.md","Integrated from Critic-accepted transcription; normalization still required before implementation"
OCR-1982-SELECTION-N,1,HT-F-1982-SELECTION-N,"resonance order N and N=0/N=1/N>=2 handling","1982_massenformel/page-08.png","357-388",integrated,2,conflict_resolved,"formulas/HT-F-1982-SELECTION-N.md","Integrated after high-res resolver accepted source-local vx notation; normalization still required before implementation"
OCR-1982-SELECTION-ALGO,1,HT-F-1982-SELECTION-ALGO,"algorithmic occupation tuple choice and W4 cases","1982_massenformel/page-09.png","395-435",integrated,2,critic_ready,"formulas/HT-F-1982-SELECTION-ALGO.md","Integrated from Critic-accepted transcription; excludes Grenzen der Resonanzspektren and formula XXXII; normalization still required before implementation"
OCR-1982-QNUM,3,HT-F-1982-QNUM,"quantum-number definitions and qx/q notation","1982_massenformel/page-02.png; 1982_massenformel/page-03.png","61-81",integrated,2,critic_ready,"formulas/HT-F-1982-QNUM.md","Integrated from Critic-accepted transcription; Q(P) rows normalized as no-binding default; stacked parenthesis notation resolved by NORM-STACKED-BINOMIAL"
OCR-1982-ALPHA,3,HT-F-1982-ALPHA,"fine-structure equation and alpha branches","1982_massenformel/page-03.png; 1982_massenformel/page-04.png","117-147",integrated,2,critic_ready,"formulas/HT-F-1982-ALPHA.md","Integrated from Critic-accepted transcription; eta aliases resolved; positive alpha reciprocal has documented variants; negative branch residual documented as source-only"
OCR-1982-MASS,1,HT-F-1982-MASS,"central unified mass spectrum expression","1982_massenformel/page-05.png","222-224",integrated,2,critic_ready,"formulas/HT-F-1982-MASS.md","Integrated from Critic-accepted transcription; source-visible µα+ and underlined G preserved; normalization still required before implementation"
OCR-1989-QX,2,HT-F-1989-QX,"1989 C/k note, alpha_Q angle, and q_x charge-number expression","1989_erweiterte_massenformel/page-02.png","61-66",integrated,2,critic_ready,"formulas/HT-F-1989-QX.md","Integrated from Critic-accepted transcription; C/k normalized by NORM-1989-QX-C-OVER-K; stacked parenthesis notation resolved by NORM-STACKED-BINOMIAL"
OCR-1989-MASS,2,HT-F-1989-MASS,"modified mass formula B3 and local alpha branch constants B4","1989_erweiterte_massenformel/page-02.png","70-87",integrated,2,critic_ready,"formulas/HT-F-1989-MASS.md","Integrated from Critic-accepted B3 transcription; B4 is linked alpha-context and not normalized into mass body"
OCR-1989-FPHI,2,HT-F-1989-FPHI,"F/Phi/self-coupling terms B5-B14","1989_erweiterte_massenformel/page-02.png; 1989_erweiterte_massenformel/page-03.png","87-147",integrated,2,critic_ready,"formulas/HT-F-1989-FPHI.md","Integrated from Critic-accepted transcription; B49/B50/B8/B13 remain high-risk and not implementation-normalized"
OCR-1989-ALPHA,2,HT-F-1989-ALPHA,"Sommerfeld fine-structure constant formulas B58-B62","1989_erweiterte_massenformel/page-09.png","449-483",integrated,2,critic_ready,"formulas/HT-F-1989-ALPHA.md","Integrated from Critic-accepted transcription; B59 full equality chain replaces old shortcut and 2002 comparison is context only"
OCR-1989-NEUTRINO,2,HT-F-1989-NEUTRINO,"neutrino-state field-mass construct B63-B65 and state list","1989_erweiterte_massenformel/page-09.png; 1989_erweiterte_massenformel/page-10.png","491-554",integrated,2,critic_ready,"formulas/HT-F-1989-NEUTRINO.md","Integrated from Critic-accepted transcription; Heim interpretation kept separate from modern neutrino validation"
